Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Alcohol use disorders (%),Depression
0.160559542,0.697779385,0.101854863,4.828829705,1.677081945,0.672404086,1
0.160311899,0.697960595,0.09931279,4.829740372,1.684745731,0.671768124,1
0.160134822,0.698106969,0.096691589,4.831108366,1.694333945,0.670644008,1
0.160037391,0.698256934,0.094335662,4.830863585,1.705320465,0.66973796,1
0.160022297,0.698469118,0.092439321,4.829423173,1.716068581,0.669259593,1
0.160076309,0.698694969,0.090980373,4.828337273,1.728111812,0.668745608,1
0.160248726,0.698914125,0.089708938,4.82808312,1.737643166,0.667727054,1
0.160553947,0.699126655,0.088372222,4.827725716,1.746890899,0.666220311,1
0.160930712,0.699371875,0.087330011,4.826971249,1.756962843,0.664676002,1
0.161310885,0.699674199,0.0862668,4.8264128,1.770790621,0.663427657,1
0.161621224,0.700015097,0.08602062,4.827046575,1.788395221,0.662478902,1
0.161957171,0.70049948,0.086517457,4.831408829,1.839123003,0.661158445,1
0.162414146,0.701141209,0.08702272,4.838317811,1.934326435,0.659212918,1
0.16291564,0.701860413,0.087188911,4.845538231,2.051106468,0.657353575,1
0.163377394,0.702556303,0.088157541,4.851512391,2.163044126,0.656131774,1
0.163706038,0.703078388,0.088933236,4.854684461,2.247442764,0.65568644,1
0.163976912,0.703516641,0.09005434,4.85668463,2.321020392,0.656296761,1
0.164302469,0.703997852,0.091687701,4.858860695,2.405564397,0.657709129,1
0.164638794,0.704480293,0.093588806,4.860437036,2.483862212,0.659501397,1
0.164931668,0.704924652,0.095166162,4.861533295,2.543883913,0.661184768,1
0.165130259,0.705313112,0.097327199,4.86277691,2.571348581,0.662061905,1
0.165271894,0.705688469,0.098638115,4.864773417,2.573169938,0.662254251,1
0.165423787,0.706086206,0.09989075,4.867282578,2.576188838,0.66237214,1
0.165579372,0.706471156,0.10129099,4.869701281,2.572395676,0.662433436,1
0.165741957,0.706875851,0.103136579,4.872256389,2.562885058,0.662446625,1
0.165895095,0.70727518,0.104445057,4.875200804,2.543144192,0.66227622,1
0.166035374,0.707685928,0.10580756,4.878875041,2.513553405,0.661850331,1
0.166157852,0.708088873,0.107142266,4.882481275,2.473933869,0.661217394,1
0.193412787,0.69501334,0.130782128,3.327586636,0.497616062,1.709464694,0
0.19339315,0.695293983,0.129101965,3.330348031,0.49568688,1.70813533,0
0.193404607,0.695602606,0.127063202,3.333437887,0.495337257,1.706052894,0
0.193438302,0.695922448,0.126019165,3.336688352,0.494085146,1.703584661,0
0.193491377,0.696255109,0.125401905,3.340088854,0.492630491,1.701141536,1
0.193559056,0.696592826,0.125319805,3.343587959,0.492058406,1.699119875,0
0.193674917,0.69692492,0.12614769,3.346907413,0.491589462,1.693187049,0
0.193864698,0.697280986,0.127300873,3.350160965,0.491548047,1.681619624,0
0.194094008,0.697600102,0.128838546,3.353242193,0.492290207,1.668865154,0
0.194328313,0.697972359,0.130729176,3.356379987,0.492855222,1.658552582,0
0.19454078,0.698437219,0.132704172,3.360266824,0.492400516,1.65433752,0
0.194812083,0.698911545,0.134932482,3.364823706,0.492592205,1.659039977,0
0.195214412,0.699500623,0.137540968,3.370779959,0.49375119,1.670157504,0
0.195677318,0.700113755,0.140334793,3.376952086,0.494038573,1.685102078,0
0.196139393,0.700682823,0.143047035,3.382199231,0.495811805,1.701433106,0
0.196538303,0.701135976,0.1457375,3.385416472,0.497502769,1.716585098,0
0.197003851,0.701533102,0.148560528,3.38721049,0.497996869,1.737166705,0
0.19763649,0.70198322,0.151699714,3.388913661,0.497441874,1.766902943,0
0.198306001,0.702399738,0.154944758,3.390168134,0.497332176,1.798549827,0
0.198904942,0.702783256,0.157738094,3.391017693,0.498324134,1.824955384,0
0.199308278,0.703063617,0.160336928,3.391246414,0.500269644,1.838566119,0
0.199587904,0.703313274,0.162419643,3.391181075,0.502702838,1.843255556,0
0.199863102,0.703539474,0.165446093,3.390806718,0.505621101,1.847374755,0
0.200133923,0.703759747,0.167105079,3.390195459,0.508049102,1.850357512,0
0.200391789,0.703970319,0.16940951,3.389319285,0.510088633,1.851516651,0
0.200629842,0.704160792,0.171094897,3.388212385,0.513158142,1.850251797,0
0.20084485,0.704335235,0.172626586,3.386891418,0.515035543,1.845972223,0
0.201025479,0.704479655,0.174046095,3.385244537,0.51761396,1.83795474,0
0.193581785,0.802893378,0.189024077,4.976552579,1.300832306,0.644398974,1
0.193206956,0.802986333,0.186989571,4.977259789,1.31951076,0.644876685,1
0.192891479,0.803125578,0.185063764,4.978074426,1.338332539,0.645307651,1
0.192646709,0.803286774,0.183793363,4.978894437,1.358713279,0.645669069,1
0.192496528,0.803494013,0.182518472,4.979730945,1.377337312,0.646000633,1
0.192457908,0.803751798,0.182169288,4.980728686,1.397872937,0.646294571,1
0.192505346,0.804040036,0.182297911,4.980781247,1.42128095,0.646540221,1
0.192603554,0.804380706,0.182681096,4.979611857,1.446513858,0.646764601,1
0.192736926,0.804755737,0.183206529,4.978093846,1.472332466,0.646978954,1
0.192906543,0.805205271,0.183524152,4.977242393,1.49405695,0.647290084,1
0.193084292,0.805670759,0.184042126,4.978016353,1.508938632,0.647654161,1
0.193403055,0.806414785,0.185197818,4.982811858,1.518062757,0.648095345,1
0.193913562,0.807496907,0.187401094,4.991301114,1.526995247,0.64858447,1
0.194517124,0.808792619,0.189418909,5.001816009,1.535362562,0.649198502,1
0.195091953,0.810073278,0.191831098,5.011855369,1.543399899,0.649949266,1
0.195516068,0.811124393,0.194148814,5.019282333,1.552626925,0.650850946,1
0.195830458,0.811975156,0.196273134,5.024179137,1.569557832,0.652640463,1
0.196170861,0.812887376,0.198160791,5.028814127,1.596377633,0.655626423,1
0.196505312,0.813799424,0.200466795,5.033205636,1.626479023,0.658998268,1
0.19679492,0.814616737,0.202695481,5.037067482,1.654478157,0.66191429,1
0.197003573,0.815265303,0.204405622,5.04047925,1.670578888,0.663538017,1
0.1971609,0.815808468,0.206218008,5.043828441,1.679099858,0.664220847,1
